Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Fuel injection
BMW M6 Convertible,662,4.4,8,6,Manual,17,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
Buick CASCADA,238,1.6,4,6,Automatic,24,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Direct ignition
Chevrolet CAMARO,243,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Chevrolet CAMARO,255,2,4,6,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Chevrolet CAMARO,92,3.6,6,8,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet CAMARO,360,3.6,6,6,Manual,20,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet CAMARO,158,6.2,8,10,Automatic,15,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Direct ignition
Chevrolet CAMARO,157,6.2,8,8,Automatic,20,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Direct ignition
Chevrolet CAMARO,152,6.2,8,6,Manual,16,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Direct ignition
Chevrolet CAMARO,153,6.2,8,6,Manual,19,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Direct ignition
Chevrolet SPARK,83,1.4,4,1,CVT,33,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Chevrolet SPARK,85,1.4,4,5,Manual,33,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Chevrolet SPARK ACTIV,84,1.4,4,1,CVT,33,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Chevrolet SPARK ACTIV,86,1.4,4,5,Manual,32,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford Fiesta FWD,67,1.6,4,6,Manual,31,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford Fiesta FWD,68,1.6,4,5,Manual,30,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford MUSTANG,212,2.3,4,10,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford MUSTANG,34,2.3,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford MUSTANG,225,5,8,10,Automatic,19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford MUSTANG,84,5,8,6,Manual,18,Naturally Aspirated,N,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford MUSTANG CONVERTIBLE,196,2.3,4,10,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford MUSTANG CONVERTIBLE,36,2.3,4,6,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford MUSTANG CONVERTIBLE,235,5,8,10,Automatic,18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford MUSTANG PERFORMANCE PACKAGE,223,2.3,4,10,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford MUSTANG PERFORMANCE PACKAGE,35,2.3,4,6,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford SHELBY GT350 MUSTANG,90,5.2,8,6,Manual,16,Naturally Aspirated,N,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Multipoint/sequential ignition
INFINITI Q60,163,2,4,7,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q60,136,3,6,7,Automatic,22,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q60 AWD,164,2,4,7,Automatic,24,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q60 AWD,233,3,6,7,Automatic,22,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q60 AWD RED SPORT,230,3,6,7,Automatic,21,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q60 RED SPORT,138,3,6,7,Automatic,22,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
LEXUS LC 500,50,5,8,10,Automatic,19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
LEXUS LC 500h,19,3.5,6,10,CVT,30,Naturally Aspirated,N,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
MASERATI GRANTURISMO,21,4.7,8,6,Automatic,16,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
MASERATI GRANTURISMO CONVERTIBLE,25,4.7,8,6,Automatic,15,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
Mercedes-Benz AMG C 43 4MATIC (convertible),314,3,6,9,Automatic,22,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG C 43 4MATIC (coupe),313,3,6,9,Automatic,22,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG C 63 (convertible),115,4,8,7,Automatic,19,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG C 63 (coupe),117,4,8,7,Automatic,19,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG C 63 S (convertible),114,4,8,7,Automatic,19,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG C 63 S (coupe),116,4,8,7,Automatic,19,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz C 300 (convertible),128,2,4,9,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz C 300 (Coupe),118,2,4,9,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz C 300 4MATIC (convertible),127,2,4,9,Automatic,25,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz C 300 4MATIC (Coupe),119,2,4,9,Automatic,25,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz E 400 (convertible),143,3,6,9,Automatic,22,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz E 400 (coupe),134,3,6,9,Automatic,22,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz E 400 4MATIC (convertible),144,3,6,9,Automatic,22,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz E 400 4MATIC (coupe),135,3,6,9,Automatic,22,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mini COOPER HARDTOP 2 DOOR,32,1.5,3,6,Automatic,30,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER HARDTOP 2 DOOR,33,1.5,3,6,Manual,32,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER HARDTOP 4 DOOR,34,1.5,3,6,Automatic,30,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER HARDTOP 4 DOOR,35,1.5,3,6,Manual,32,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S HARDTOP 2 DOOR,54,2,4,6,Automatic,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S HARDTOP 2 DOOR,55,2,4,6,Manual,26,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S HARDTOP 4 DOOR,56,2,4,6,Automatic,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S HARDTOP 4 DOOR,57,2,4,6,Manual,26,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini JOHN COOPER WORKS HARDTOP,84,2,4,6,Automatic,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini JOHN COOPER WORKS HARDTOP,85,2,4,6,Manual,26,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
NISSAN GT-R,71,3.8,6,6,Manual,18,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
TOYOTA YARIS iA,203,1.5,4,6,Automatic,35,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
TOYOTA YARIS iA,202,1.5,4,6,Manual,34,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Volkswagen Beetle Convertible,43,2,4,6,Automatic,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Volkswagen Beetle Dune Convertible,41,2,4,6,Automatic,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Acura ILX,39,2.4,4,8,Manual,29,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Acura TLX AWD,6,3.5,6,9,Automatic,24,Naturally Aspirated,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Acura TLX AWD A-SPEC,7,3.5,6,9,Automatic,23,Naturally Aspirated,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Acura TLX FWD,3,2.4,4,8,Manual,27,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Acura TLX FWD,4,3.5,6,9,Automatic,24,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Acura TLX FWD A-SPEC,5,3.5,6,9,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Audi A4 quattro,6,2,4,7,Manual,27,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi A4 quattro,15,2,4,6,Manual,27,Turbocharged/Supercharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi A4 Ultra,55,2,4,7,Manual,31,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Premium Unleaded Recommended,2,2,Direct ignition
Audi Q3,22,2,4,6,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Premium Unleaded Recommended,2,2,Direct ignition
Audi Q3 quattro,21,2,4,6,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi S4,7,3,6,8,Manual,24,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
BMW 320i,320,2,4,8,Automatic,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 320i,321,2,4,6,Manual,27,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 320i xDrive,322,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 330i,300,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 330i,301,2,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 330i xDrive,304,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 340i,335,3,6,8,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 340i,336,3,6,6,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 340i xDrive,339,3,6,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 340i xDrive,340,3,6,6,Manual,23,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 430i Coupe,400,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 430i Coupe,401,2,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 430i Gran Coupe,408,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 430i xDrive Coupe,402,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 430i xDrive Gran Coupe,409,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 440i Coupe,410,3,6,8,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 440i Coupe,411,3,6,6,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 440i Gran Coupe,455,3,6,8,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 440i xDrive Coupe,412,3,6,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 440i xDrive Coupe,413,3,6,6,Manual,23,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 440i xDrive Gran Coupe,457,3,6,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 640i Gran Coupe,642,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 640i xDrive Gran Coupe,644,3,6,8,Automatic,22,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 650i Gran Coupe,657,4.4,8,8,Automatic,20,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 650i xDrive Gran Coupe,658,4.4,8,8,Automatic,19,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW Alpina B6 xDrive Gran Coupe,659,4.4,8,8,Automatic,19,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M3,381,3,6,7,Manual,20,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M3,380,3,6,6,Manual,20,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
BMW M4 Coupe,481,3,6,7,Manual,20,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M4 Coupe,480,3,6,6,Manual,20,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
BMW M6 Gran Coupe,665,4.4,8,7,Manual,16,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M6 Gran Coupe,664,4.4,8,6,Manual,17,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
Cadillac ATS,109,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Cadillac ATS,415,2,4,6,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Cadillac ATS,410,3.6,6,8,Automatic,24,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,Direct ignition
Cadillac ATS AWD,403,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Cadillac ATS AWD,66,3.6,6,8,Automatic,22,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
Cadillac ATS-V,396,3.6,6,8,Automatic,20,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Cadillac ATS-V,409,3.6,6,6,Manual,19,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Chevrolet CRUZE,11,1.4,4,6,Automatic,33,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet CRUZE,15,1.4,4,6,Manual,32,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet CRUZE PREMIER,12,1.4,4,6,Automatic,33,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet SONIC,55,1.4,4,6,Automatic,30,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Chevrolet SONIC,57,1.4,4,6,Manual,32,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Chevrolet SONIC,50,1.8,4,6,Automatic,28,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Chevrolet SONIC,52,1.8,4,5,Manual,29,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford Fiesta ST FWD,66,1.6,4,6,Manual,29,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford FOCUS FWD,181,1,3,6,Automatic,31,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford FOCUS FWD,182,1,3,6,Manual,34,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford FOCUS FWD,174,2,4,6,Manual,31,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford FOCUS FWD,176,2,4,6,Manual,28,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford FOCUS FWD,178,2,4,5,Manual,28,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 2Dr,47,1.5,4,1,CVT,35,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 2Dr,46,1.5,4,6,Manual,35,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 2Dr,49,1.5,4,6,Manual,32,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 2Dr,43,2,4,1,CVT,34,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Honda CIVIC 2Dr,42,2,4,6,Manual,32,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
HYUNDAI MOTOR COMPANY Accent,35,1.6,4,6,Automatic,32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Accent,36,1.6,4,6,Manual,31,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
INFINITI Q50 HYBRID,142,3.5,6,7,Automatic,29,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
INFINITI Q50 HYBRID AWD,144,3.5,6,7,Automatic,28,Naturally Aspirated,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
INFINITI QX30,171,2,4,7,Manual,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,Direct ignition
INFINITI QX30 AWD,173,2,4,7,Manual,25,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Jaguar XE,760,2,4,8,Automatic,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XE,763,3,6,8,Automatic,24,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XE (296 Hp),767,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XE AWD,771,2,4,8,Automatic,28,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XE AWD,764,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XE AWD (296 Hp),772,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Rio,28,1.6,4,6,Automatic,32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Rio,29,1.6,4,6,Manual,32,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
LEXUS GS F,72,5,8,8,Automatic,19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
LEXUS IS 300,76,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
LEXUS IS 300 AWD,119,3.5,6,6,Automatic,22,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,Direct ignition
LEXUS IS 350,120,3.5,6,8,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
LEXUS IS 350 AWD,121,3.5,6,6,Automatic,22,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,Direct ignition
MAZDA CX-3 2WD,9,2,4,6,Automatic,31,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
MAZDA CX-3 4WD,10,2,4,6,Automatic,29,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
MAZDA MAZDA2,2,1.5,4,6,Automatic,35,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
MAZDA MAZDA2,1,1.5,4,6,Manual,34,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
MAZDA MAZDA3 4-Door,4,2,4,6,Automatic,31,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
MAZDA MAZDA3 4-Door,3,2,4,6,Manual,31,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
MAZDA MAZDA3 4-Door,7,2.5,4,6,Automatic,30,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Mercedes-Benz AMG C 43 4MATIC,312,3,6,9,Automatic,23,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG C 63,108,4,8,7,Automatic,20,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG C 63 S,110,4,8,7,Automatic,20,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG CLA 45 4MATIC,210,2,4,7,Manual,26,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG CLS 63 S 4MATIC,329,5.5,8,7,Automatic,18,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
