case_identifier,turnout16_2016,RIGGED_SYSTEM_1_2016,RIGGED_SYSTEM_2_2016,RIGGED_SYSTEM_3_2016,RIGGED_SYSTEM_4_2016,RIGGED_SYSTEM_5_2016,RIGGED_SYSTEM_6_2016,track_2016,persfinretro_2016,econtrend_2016,Americatrend_2016,futuretrend_2016,wealth_2016,values_culture_2016,US_respect_2016,trustgovt_2016,trust_people_2016,helpful_people_2016,fair_people_2016,imiss_a_2016,imiss_b_2016,imiss_c_2016,imiss_d_2016,imiss_e_2016,imiss_f_2016,imiss_g_2016,imiss_h_2016,imiss_i_2016,imiss_j_2016,imiss_k_2016,imiss_l_2016,imiss_m_2016,imiss_n_2016,imiss_o_2016,imiss_p_2016,imiss_q_2016,imiss_r_2016,imiss_s_2016,imiss_t_2016,imiss_u_2016,imiss_x_2016,imiss_y_2016
33788057,Voted,3,4,1,1,2,2,3,2,1,1,4,2,2,3,3,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,2,1,1,3,1,2,2,2,3,2,1
33788378,Voted,3,2,1,1,3,2,2,1,1,3,3,1,3,3,3,2,1,2,2,2,1,3,2,2,3,1,3,2,2,4,3,2,1,2,3,1,2,3,1,3,3
33789158,Voted,4,1,3,4,4,4,2,2,1,2,1,2,3,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,3,1,1
33792194,Voted,2,1,3,1,2,3,2,2,2,3,3,1,3,3,2,1,1,2,1,1,1,2,1,1,3,2,3,2,2,3,2,2,1,1,2,2,1,3,1,2,3
33795182,Did not vote,1,4,1,1,1,1,2,2,2,3,3,2,3,3,3,1,2,1,2,1,4,1,4,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,3,2,2
33797636,Voted,1,4,1,1,1,1,2,3,3,3,3,2,3,3,3,1,1,1,1,1,1,4,2,2,4,4,2,1,2,4,1,1,1,4,1,1,1,4,4,4,4
33799526,Voted,4,3,1,4,4,1,1,1,1,1,1,2,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
33800312,Voted,4,2,3,3,3,3,2,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,4,2,1,1,1,4,1,1,1,4,3,1,1
33800447,Voted,4,1,3,1,1,1,2,3,2,1,1,1,3,3,3,1,1,2,1,1,1,2,1,1,4,2,3,1,3,4,1,1,1,1,1,1,1,2,1,4,4
33804083,Voted,2,4,1,2,3,2,3,2,4,3,3,2,3,3,3,2,8,8,2,2,3,1,2,3,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2
33805844,Voted,4,3,1,3,4,2,1,1,1,1,1,2,2,2,3,1,2,1,2,2,2,1,3,2,2,2,2,1,1,1,2,2,2,3,2,2,2,2,3,2,2
33808268,Voted,2,4,1,1,1,1,2,2,3,3,3,2,1,3,3,2,1,2,2,1,1,1,2,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1
33810758,Voted,2,3,2,2,2,2,2,2,1,3,3,2,3,3,3,8,1,1,2,1,3,2,3,2,3,1,3,2,1,2,2,1,2,1,2,2,2,4,2,1,2
33814577,Voted,3,2,1,4,3,2,2,3,2,3,3,2,3,2,3,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1
33814736,Voted,3,1,4,1,3,1,2,2,1,2,2,1,3,3,3,1,2,1,1,1,1,3,1,1,4,1,4,1,3,4,1,1,1,1,1,1,3,1,1,3,4
33815468,Voted,3,2,2,1,3,1,2,2,1,1,2,1,3,3,2,2,2,2,1,1,1,2,1,1,3,1,2,1,3,3,1,2,1,1,2,1,1,2,2,3,2
33816815,Did not vote,2,1,3,2,2,2,2,1,2,3,3,1,3,3,3,1,2,1,1,2,2,1,1,1,4,3,3,2,4,3,4,3,2,2,3,1,3,2,1,3,4
33820160,Voted,4,3,1,3,3,3,3,3,3,1,4,8,8,3,3,1,1,1,3,2,3,1,1,2,3,2,3,1,2,1,1,1,2,3,2,3,2,3,2,2,2
33820559,Voted,3,3,1,3,1,2,2,3,2,3,2,2,3,1,3,1,1,2,3,3,3,2,4,3,3,1,2,1,1,2,1,1,2,4,2,2,1,1,3,2,2
33825041,Voted,3,1,3,1,3,3,1,2,3,3,1,1,3,3,3,1,2,1,1,1,2,2,1,1,2,2,3,2,2,3,1,2,1,1,2,2,1,2,1,2,2
33825335,Voted,3,4,1,4,3,1,2,1,3,1,2,2,2,1,3,2,1,2,3,1,3,1,1,3,3,1,2,1,1,2,1,2,2,4,1,2,1,2,4,2,4
33825512,Voted,2,2,1,2,1,1,1,2,1,1,2,2,1,3,3,1,2,1,1,1,3,1,3,1,2,1,1,1,2,1,2,1,1,1,2,1,3,2,4,2,3
33825668,Voted,4,2,1,2,4,2,3,2,1,1,4,2,2,8,3,2,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1
33827474,Voted,2,2,2,3,3,1,2,3,3,1,2,2,3,3,3,1,1,2,2,1,2,2,1,2,4,2,2,2,2,2,2,1,1,2,1,3,2,1,2,1,2
33828398,Voted,3,2,3,1,2,1,1,1,2,3,4,2,3,3,3,2,1,2,1,1,1,2,1,1,2,1,3,1,2,4,1,1,1,1,1,1,1,1,1,1,2
33828704,Voted,3,3,1,3,2,2,1,2,2,1,3,2,3,2,3,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,3,2,1,1
33836033,Voted,3,2,3,1,2,2,1,3,2,4,4,1,8,3,3,2,1,2,1,1,1,2,1,1,2,1,3,1,2,3,2,2,1,1,1,1,3,1,1,2,3
33836069,Voted,3,1,2,1,3,1,2,3,2,3,4,1,3,3,3,2,1,2,1,1,1,2,1,1,3,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2
33842939,Voted,3,2,3,1,3,2,2,3,3,3,1,1,1,3,3,1,2,2,1,1,1,4,1,2,1,1,2,2,2,4,2,2,1,2,2,2,2,3,1,2,3
33843050,Voted,2,3,1,3,2,1,2,4,4,1,4,2,1,8,3,1,8,8,2,2,2,1,3,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,1,1
33845222,Voted,3,2,1,3,2,1,2,2,2,1,1,2,8,3,3,2,1,2,2,1,2,2,4,3,1,2,2,1,1,1,1,1,1,2,1,2,1,4,2,1,1
33845642,Voted,2,2,2,3,2,2,3,2,2,3,4,2,2,2,3,8,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
33846146,Voted,3,3,3,1,2,2,2,2,3,3,3,1,3,3,3,1,2,1,2,2,2,2,2,1,3,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,3
33849332,Voted,3,2,3,1,2,3,2,3,3,3,4,1,3,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1
33855836,Voted,3,3,2,1,2,1,2,2,3,3,4,8,3,3,3,1,2,1,1,1,1,2,2,1,4,1,2,1,1,3,2,1,1,1,1,1,2,2,1,4,3
33856658,Voted,2,3,1,3,2,2,2,2,1,1,3,2,1,3,3,2,1,8,1,2,2,1,3,1,1,2,2,1,1,1,2,1,2,2,2,2,1,2,2,1,1
33858053,Voted,3,4,1,1,1,1,2,2,2,2,2,2,2,2,3,1,2,1,3,1,2,1,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,3,1,1
33858527,Voted,3,4,1,3,2,1,2,3,3,1,4,2,3,3,3,8,8,8,2,1,2,1,1,4,1,1,1,1,2,1,1,1,2,3,1,2,2,1,4,1,1
33860549,Voted,3,2,2,1,2,1,2,3,3,3,3,1,1,3,3,1,2,1,1,2,3,2,1,1,4,2,2,1,1,3,1,1,1,1,2,1,2,4,1,1,3
33861401,Voted,4,2,1,1,1,1,2,2,3,3,3,8,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
33869036,Voted,3,2,3,1,3,1,1,2,2,1,2,1,1,3,3,2,1,2,2,1,2,3,2,2,3,3,2,2,2,3,2,1,1,1,2,1,2,2,1,3,3
33869888,Voted,2,3,2,3,3,2,1,2,1,1,2,1,1,3,3,2,2,2,2,1,2,2,3,2,2,1,2,2,3,3,2,2,1,2,2,2,2,3,2,2,2
33872732,Voted,2,2,2,1,2,2,1,2,3,3,3,1,3,3,3,1,2,1,1,2,1,4,2,2,3,2,1,2,1,4,1,2,2,1,4,1,1,2,1,4,4
33874385,Voted,1,3,2,1,2,1,2,3,3,1,2,1,2,3,3,1,1,2,2,1,1,2,2,1,4,2,4,1,1,4,1,2,2,1,2,1,1,4,2,2,2
33875321,Voted,2,2,3,1,2,2,2,3,3,3,3,1,3,3,3,2,1,2,2,1,2,1,1,2,4,1,2,2,2,2,1,2,1,1,2,1,2,3,1,3,3
33876413,Voted,2,1,2,1,1,3,2,3,2,2,1,1,3,3,3,2,2,1,2,1,2,3,3,2,3,2,1,2,2,3,1,1,1,1,2,1,2,3,2,3,3
33877103,Voted,3,1,3,2,3,2,3,2,2,3,2,1,3,3,3,2,1,2,2,1,2,2,1,2,3,1,2,2,2,3,2,2,1,1,2,1,3,2,1,2,2
33878480,Voted,3,3,3,3,3,3,3,1,1,1,1,2,8,3,3,2,8,2,2,1,2,2,2,3,3,2,2,2,3,2,2,2,2,3,1,2,2,3,3,2,3
33880010,Voted,2,2,3,1,3,2,2,2,2,3,3,1,2,3,3,1,2,8,1,1,2,3,1,2,4,2,3,1,1,3,2,2,1,1,2,1,2,2,1,3,3
33880382,Voted,2,4,1,3,2,1,2,2,2,1,4,2,3,3,3,1,2,1,2,1,2,1,1,2,3,2,2,1,1,1,1,1,2,2,1,1,1,3,2,1,1
33881033,Voted,2,1,1,1,1,1,2,2,3,3,3,8,3,3,3,8,1,2,1,1,1,4,1,2,3,3,3,1,2,4,2,3,1,1,3,1,2,2,1,4,3
33881747,Voted,2,2,3,1,3,1,2,2,2,3,2,1,3,3,3,1,2,1,3,1,1,3,1,1,3,2,3,2,2,3,2,2,1,2,2,2,2,2,1,2,3
33881864,Voted,1,4,1,1,1,1,2,2,2,3,3,2,3,3,3,2,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2
33882047,Voted,3,3,1,3,2,2,3,3,4,1,3,2,8,3,3,1,2,1,2,1,3,3,4,2,1,2,2,2,2,3,1,2,1,2,2,2,2,4,3,1,1
33882092,Voted,2,2,2,1,2,2,2,2,2,3,4,8,3,3,3,2,8,1,2,2,1,2,3,1,4,1,1,2,2,2,1,1,2,2,2,2,2,4,2,3,3
33884972,Voted,1,1,2,1,1,2,1,3,2,3,3,1,3,3,3,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2
33890024,Voted,3,1,2,1,2,1,2,2,2,3,3,8,3,3,3,2,2,2,2,1,2,4,1,3,4,2,4,3,2,4,1,1,1,2,3,2,2,4,2,4,4
33894635,Voted,3,2,2,1,2,1,2,2,2,3,3,1,3,3,3,1,2,1,1,1,1,3,1,1,4,2,3,1,1,4,1,2,1,1,2,1,1,2,1,2,3
33901880,Voted,3,1,3,2,3,1,3,3,1,2,3,1,2,3,3,1,1,2,1,1,1,2,1,1,3,2,3,2,2,4,2,2,1,1,3,1,2,3,1,3,4
33903914,Voted,2,3,1,3,2,1,1,2,2,2,2,2,3,8,3,1,1,8,1,1,4,1,1,2,4,1,1,3,1,2,1,1,1,1,1,1,1,4,3,1,1
33905255,Voted,2,3,1,1,2,1,3,2,4,3,4,2,3,8,3,1,2,1,1,2,1,1,1,1,4,1,1,1,2,1,1,3,1,2,1,3,2,2,2,1,1
33912179,Voted,3,2,3,1,2,2,2,3,4,3,3,1,3,3,3,2,1,2,1,1,1,2,1,1,3,2,2,1,1,3,1,2,2,1,2,1,2,1,1,2,3
33913550,Voted,2,2,3,3,3,2,3,2,2,1,1,2,2,3,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1
33933506,Voted,2,3,1,3,1,1,2,3,1,4,3,2,2,8,2,2,2,1,2,1,3,1,4,3,1,1,1,1,1,1,1,1,1,3,1,2,1,2,3,1,1
33945056,Voted,3,2,3,1,3,2,2,2,4,3,3,8,3,3,3,1,2,1,1,1,1,4,2,1,4,3,4,1,3,4,4,2,1,2,2,3,3,4,2,2,4
33950750,Voted,3,2,2,1,2,2,2,3,2,3,3,1,3,3,3,1,2,1,1,1,1,2,3,1,4,1,3,1,2,3,1,1,1,1,2,1,1,3,1,2,1
33956648,Voted,3,3,1,3,3,1,2,2,2,1,2,2,1,3,3,2,1,2,3,1,1,1,3,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,3,1,1
33958166,Voted,3,1,3,1,3,2,2,2,3,3,3,1,2,3,3,1,2,1,1,1,1,3,1,1,4,2,4,2,1,4,2,2,1,1,3,1,1,4,1,1,4
33959231,Voted,2,2,2,2,1,1,2,2,1,2,4,2,3,3,3,1,2,1,1,1,1,1,4,1,1,1,3,1,1,2,2,1,1,1,2,1,2,2,1,3,2
33960290,Voted,4,3,1,3,3,1,2,2,2,3,2,2,2,3,3,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1
33961688,Voted,4,2,3,2,4,3,3,2,1,3,2,1,3,3,3,2,1,1,1,1,1,2,1,1,3,1,3,1,2,4,2,2,2,1,3,2,2,2,2,3,3
33962696,Voted,3,3,2,4,3,2,1,2,2,1,1,2,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33965129,Voted,1,4,1,1,1,1,2,2,3,3,3,2,1,3,3,2,1,2,3,1,2,1,3,2,2,1,2,1,1,2,1,2,1,3,1,2,1,1,3,2,2
33968276,Voted,3,3,1,3,2,2,3,2,1,3,3,2,1,3,3,1,2,1,3,1,2,1,3,3,2,1,3,1,1,1,1,1,1,3,1,2,1,1,3,1,2
33968387,Voted,3,3,1,2,2,1,2,2,2,3,3,2,8,3,3,1,8,8,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,3,2,1,1
33969290,Voted,2,3,1,1,1,1,2,2,1,2,3,2,2,1,3,1,1,1,1,2,2,1,4,1,2,1,2,1,1,1,1,1,2,3,2,2,1,1,2,2,2
33976748,Voted,4,1,4,1,3,3,2,2,2,1,3,1,3,3,3,1,1,1,1,1,1,3,1,1,4,1,2,3,3,4,1,1,1,1,2,1,2,2,1,2,3
33979235,Voted,2,2,2,3,2,3,2,2,2,2,3,8,3,3,3,2,1,8,1,1,1,1,1,1,1,1,3,1,2,2,1,2,1,1,1,2,2,1,1,2,2
33990032,Voted,1,2,1,1,2,2,2,3,2,3,3,1,3,3,3,1,2,1,2,1,1,2,1,1,2,1,2,1,4,4,1,2,1,3,1,1,1,2,1,2,2
34003544,Did not vote,3,2,2,1,2,2,3,3,3,3,1,2,3,8,3,2,1,8,1,1,1,1,4,3,4,1,2,2,1,1,1,1,1,1,1,2,1,4,1,3,3
34013897,Voted,2,4,1,1,1,1,2,2,3,3,3,2,3,3,3,1,2,1,2,1,3,1,4,3,1,1,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1
34022792,Voted,2,1,1,2,2,1,2,1,2,3,2,8,3,3,3,1,2,1,1,2,2,2,1,2,3,1,2,1,1,2,2,1,2,1,1,1,2,2,1,3,3
34026464,Voted,2,3,2,1,2,2,1,4,4,4,3,2,8,3,3,1,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2
34040306,Voted,4,1,4,1,3,1,2,1,3,3,3,1,3,3,3,2,1,2,1,1,1,3,1,1,4,1,4,1,2,4,2,1,1,1,2,1,3,4,1,3,4
34044128,Voted,3,4,1,3,3,1,2,2,3,3,3,2,3,3,3,2,1,2,3,1,4,1,3,4,2,1,1,1,1,1,1,1,1,4,1,4,1,2,4,1,1
34066358,Voted,3,2,1,1,2,1,2,2,1,1,3,2,3,3,3,1,1,1,1,1,1,2,3,1,4,2,1,1,1,2,1,1,1,1,2,1,1,4,1,2,2
34067918,Voted,3,1,1,1,3,1,1,3,3,3,1,1,3,3,3,2,1,2,1,1,1,3,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,2
34068632,Voted,2,3,3,2,2,2,2,2,2,3,3,8,3,3,3,2,1,8,2,1,2,2,1,1,2,1,2,2,1,3,1,2,1,1,1,2,1,1,2,1,2
34073183,Voted,3,2,2,2,3,2,3,2,2,3,3,2,3,3,3,1,2,8,1,1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1
34078067,Voted,4,3,1,3,3,1,2,2,2,3,3,2,2,3,3,2,8,8,2,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,1,2,1,2,3,1,1
34080749,Voted,2,3,1,2,1,1,2,3,3,3,4,2,1,3,3,1,1,8,1,1,1,2,1,1,2,1,4,1,1,2,1,1,1,1,1,1,1,2,1,1,1
34082366,Voted,4,2,1,2,2,1,1,2,1,2,3,2,3,3,3,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,2,1,2,1,2,2,2,3,1,2,3
34083245,Voted,3,3,1,1,3,1,2,3,3,3,3,2,3,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
34085435,Voted,3,2,3,2,3,2,2,2,3,3,1,1,3,3,3,2,1,2,1,2,2,3,1,1,4,3,4,2,2,4,2,3,2,1,3,2,2,2,2,3,4
34086716,Voted,3,2,4,2,3,3,2,3,2,3,4,8,3,3,3,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2
34087457,Voted,1,4,1,4,1,1,2,3,2,3,3,2,3,2,3,8,1,8,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1
34091219,Voted,3,2,1,1,3,2,1,2,1,1,3,2,3,2,3,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,3,2,2
34092152,Voted,4,2,2,4,3,3,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1
34095149,Voted,2,3,1,1,1,2,2,3,2,3,3,8,3,3,3,1,2,1,1,1,1,2,2,1,2,2,3,1,1,3,1,3,2,1,2,1,1,2,1,2,2
34097537,Voted,1,4,1,1,1,3,2,2,2,3,3,2,1,3,3,2,1,2,2,1,3,1,4,3,2,2,1,1,1,1,1,1,1,1,2,2,1,4,1,2,2
34101872,Voted,3,3,1,4,3,3,2,1,2,3,3,2,1,3,3,2,1,2,3,2,1,1,4,2,1,1,1,1,1,1,1,1,1,4,1,2,1,1,4,1,1
34103801,Voted,1,3,1,2,2,1,2,3,3,3,3,1,3,3,3,1,2,1,1,1,1,2,2,1,4,1,1,1,2,2,1,3,1,2,1,2,1,2,2,4,3
34104716,Voted,1,3,1,1,2,1,2,2,2,2,3,8,3,3,3,1,8,1,1,1,3,3,1,2,4,1,1,1,1,4,1,2,1,4,2,1,1,3,4,1,4
34108961,Voted,3,3,2,3,3,2,2,2,1,2,2,2,1,3,3,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,3,2,1,1,3,3,1,1
34109207,Voted,3,3,2,3,2,2,3,2,2,1,2,2,1,2,3,2,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,3,1,2,1,1,3,1,1
34109807,Voted,3,3,1,2,2,1,2,3,2,3,3,2,2,3,3,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,1,3,1,3,3,1,1
34111886,Voted,2,4,1,3,2,1,2,2,2,3,3,2,3,3,3,1,2,1,2,2,3,1,1,2,1,1,2,1,1,1,1,1,1,4,2,2,1,1,4,1,1
34113431,Voted,1,4,1,2,2,1,2,2,1,3,3,2,1,3,3,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1
34114043,Voted,2,3,1,2,2,2,2,2,2,3,3,2,3,3,3,2,1,2,1,1,4,1,3,3,2,2,3,1,1,1,1,1,1,2,1,1,1,2,1,2,2
34114541,Voted,1,1,2,1,1,2,2,2,2,3,3,1,3,3,3,1,2,2,1,2,2,3,1,1,4,2,2,1,4,4,1,4,1,2,3,2,1,4,2,4,4
34117283,Voted,1,2,1,1,3,2,1,2,1,2,2,2,2,1,3,1,2,2,2,1,2,1,1,2,1,1,3,2,1,1,1,2,3,4,1,4,2,1,3,2,1
34122278,Voted,1,4,1,1,1,1,2,1,1,1,3,1,2,2,3,2,2,1,1,1,2,1,1,1,4,1,2,2,1,1,1,1,1,1,2,1,1,2,3,1,1
34126595,Voted,3,4,1,3,3,2,2,2,4,1,4,2,8,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,3,2,2,3,2,2
34127066,Voted,3,3,1,1,3,1,2,3,1,3,3,2,3,2,3,1,1,1,1,1,2,1,2,2,3,2,3,1,1,1,1,1,1,2,1,2,1,2,2,3,2
34127141,Voted,4,4,1,2,1,1,2,2,2,2,3,2,2,3,3,1,2,1,1,1,2,1,1,2,4,3,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1
34127429,Voted,2,3,1,3,1,2,2,2,2,3,4,2,1,1,3,2,8,8,3,2,4,1,1,3,2,1,3,2,2,1,2,1,1,4,2,2,2,1,2,1,1
34128965,Voted,2,2,2,1,2,1,2,3,2,4,3,1,3,3,3,1,8,8,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2
34129883,Voted,4,3,1,4,1,1,1,1,1,1,2,2,2,1,3,1,2,2,3,1,3,1,4,2,2,1,2,1,1,1,1,1,1,2,1,3,1,4,3,2,2
34130945,Voted,4,3,1,3,3,3,2,3,3,2,2,2,2,3,3,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,3,1,1
34132754,Voted,2,2,1,1,3,1,2,3,3,3,1,2,2,3,3,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4
34143329,Voted,3,4,1,3,3,2,3,3,2,1,3,1,3,3,3,8,2,8,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,4,2,2
34148786,Voted,4,3,1,3,3,2,2,1,1,3,2,2,3,2,2,1,2,2,3,1,3,1,3,1,3,3,3,1,1,1,1,3,1,1,1,1,1,2,2,1,3
34154294,Voted,2,2,3,1,2,1,2,3,2,3,2,1,3,3,3,1,2,1,1,1,1,4,2,1,4,2,3,2,3,4,2,3,2,2,3,2,2,3,1,4,4
34157228,Voted,4,2,1,4,2,2,2,2,1,1,3,2,3,3,3,2,1,2,3,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,3,2,2
34159247,Voted,4,2,3,2,3,2,2,2,1,3,4,8,3,3,3,1,1,2,1,1,1,2,2,1,3,1,3,2,2,4,2,2,2,1,3,2,2,4,2,2,4
34159574,Voted,4,4,1,4,3,4,2,2,2,3,3,2,3,3,3,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,3,2,1,1,1,3,3,1,2,1,1
34164116,Voted,4,4,2,4,3,2,1,1,1,1,3,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1
34164311,Voted,4,3,1,3,2,3,2,2,2,3,3,2,2,3,3,2,1,2,3,2,2,1,1,3,1,1,2,1,1,1,1,1,1,3,1,3,2,3,2,1,1
34166597,Voted,4,3,1,2,2,1,2,4,1,3,4,2,8,3,3,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2
34167647,Voted,2,4,1,1,1,1,2,2,2,3,2,2,3,3,3,1,2,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1
34169258,Voted,3,3,2,3,3,2,2,2,1,1,4,2,2,3,3,2,1,2,3,1,2,1,1,1,1,2,1,1,1,1,1,2,2,3,1,3,1,1,3,1,1
34170872,Voted,2,4,1,1,3,2,2,2,2,2,1,1,3,3,3,1,2,1,1,1,1,2,2,1,4,4,4,2,2,2,2,1,3,1,2,1,2,1,1,4,2
34171607,Voted,3,4,1,3,3,1,2,1,2,1,3,2,2,2,3,2,1,2,4,1,3,1,1,4,1,1,2,1,2,1,2,1,1,4,1,3,2,1,4,1,1
34174730,Voted,4,2,1,4,3,3,2,2,1,1,3,2,3,3,3,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,2
34176710,Voted,2,3,1,2,2,2,2,2,3,1,2,2,8,3,3,8,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1
34184666,Voted,3,2,1,2,2,1,3,2,2,3,3,2,3,3,3,1,2,1,2,1,2,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3
34185815,Voted,3,3,1,1,1,1,2,2,2,3,3,2,3,2,3,2,2,8,4,1,4,2,4,4,2,4,4,1,2,4,4,4,1,3,2,4,3,4,3,4,4
34188632,Voted,3,3,1,3,3,1,1,2,2,1,4,2,2,8,3,8,8,8,2,1,3,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2
34197128,Voted,4,4,1,2,2,2,2,2,1,3,3,2,8,3,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1
34214957,Voted,4,2,1,4,4,3,2,1,1,1,1,2,1,3,2,2,1,1,2,1,2,1,1,2,3,1,4,2,3,1,1,2,1,1,2,2,1,3,4,3,3
34215419,Voted,3,2,3,1,2,2,1,1,1,1,3,8,3,3,3,1,2,1,1,1,3,3,1,1,4,2,3,2,2,4,2,2,1,2,2,2,2,1,1,3,3
34219328,Voted,3,3,2,1,3,2,3,1,2,2,3,2,3,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,2,2,1,1,2,3,2,2
34220945,Voted,3,3,2,3,3,2,2,2,2,3,4,2,8,8,3,2,1,8,3,2,2,1,3,3,2,3,2,2,2,1,2,2,2,2,2,4,2,4,4,1,1
34225007,Voted,3,3,2,3,3,2,1,2,1,1,4,2,2,8,2,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2
34230458,Voted,4,3,1,3,3,3,2,1,1,1,3,2,3,3,3,8,8,8,2,1,3,1,2,1,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1
34233293,Voted,1,3,1,4,1,1,2,2,2,3,2,8,3,3,3,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1
34235873,Voted,2,2,3,1,2,1,2,2,2,3,4,8,3,3,3,2,1,2,1,1,1,4,2,1,3,2,3,2,1,4,2,1,1,1,2,2,2,4,1,2,4
34236041,Voted,3,3,2,3,3,2,1,1,1,3,1,2,1,2,3,2,1,2,2,1,2,1,4,2,1,1,2,1,1,1,1,1,1,3,1,2,1,1,3,1,1
34238075,Voted,2,3,1,3,3,1,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,3,1,1,2,2,2,1,2,1,2,3,1,3,2,1,4,1,1
34241132,Voted,3,1,3,1,2,1,2,2,2,1,1,1,3,3,3,2,1,2,1,1,2,3,1,1,3,1,4,2,2,4,1,2,1,1,2,1,2,1,1,4,4
